Binder Name,Binder Type,Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency,Added
LOTR - Pulled,binder,Stone of Erech,LTR,The Lord of the Rings: Tales of Middle-earth,251,normal,uncommon,1,83452,bc02e193-df33-4eb1-adc1-b51ee931218a,0.46,false,false,mint,en,AUD,2026-06-18T12:02:21.367Z
LOTR - Pulled,binder,"Glóin, Dwarf Emissary",LTR,The Lord of the Rings: Tales of Middle-earth,132,normal,rare,1,83261,868a2aa7-bcaf-409b-8802-d00ee1f2ae77,1.42,false,false,mint,en,AUD,2026-06-18T12:04:04.140Z
LOTR - Pulled,binder,Knights of Dol Amroth,LTR,The Lord of the Rings: Tales of Middle-earth,59,normal,common,2,83146,661338ff-a192-4007-a144-63d00f2e9ecb,0.14,false,false,mint,en,AUD,2026-06-18T12:04:28.833Z
LOTR - Pulled,binder,Regathan Firecat,PLST,The List,M14-150,normal,common,1,81678,54c2c727-cc91-481f-b33c-e8d211501f69,0.26,false,false,mint,en,AUD,2026-06-18T12:05:11.053Z
LOTR - Pulled,binder,Fire of Orthanc,LTR,The Lord of the Rings: Tales of Middle-earth,127,normal,common,1,83332,9b5871c5-bb94-4803-93ba-cd1a630b00d6,0.19,false,false,mint,en,AUD,2026-06-18T12:05:56.033Z
LOTR - Pulled,binder,Cast into the Fire,LTR,The Lord of the Rings: Tales of Middle-earth,118,normal,common,1,82962,2ef878cb-27b6-47d8-ad11-bd20529b0e7e,1.23,false,false,mint,en,AUD,2026-06-18T12:06:15.407Z
LOTR - Pulled,binder,Smite the Deathless,LTR,The Lord of the Rings: Tales of Middle-earth,148,normal,common,2,83271,8b716fcc-c4cc-4987-be82-2897a9888d23,0.21,false,false,mint,en,AUD,2026-06-18T12:06:45.040Z
LOTR - Pulled,binder,Storm of Saruman,LTR,The Lord of the Rings: Tales of Middle-earth,413,normal,mythic,1,82895,1a02fac3-8990-4bd1-8e34-beec6332088c,7.22,false,false,mint,en,AUD,2026-06-18T12:08:23.575Z
LOTR - Pulled,binder,Old Ghastbark,PLST,The List,SHM-232,normal,common,1,83941,a919c38a-9f58-4786-a3fd-aeba2379e877,0.17,false,false,mint,en,AUD,2026-06-18T12:09:08.438Z
LOTR - Pulled,binder,Knights of Dol Amroth,LTR,The Lord of the Rings: Tales of Middle-earth,432,normal,common,1,82848,0c511371-97d7-47cc-934c-939dfbdd1c0b,0.21,false,false,mint,en,AUD,2026-06-18T12:09:42.507Z
