Binder Name,Binder Type,Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency,Added
,,Spider-Punk,SPM,Marvel's Spider-Man,92,normal,rare,1,107854,0bd41879-fcd4-4211-9b98-47e7cdba5399,1.85,false,false,near_mint,en,USD,2026-08-04T05:18:56.227Z
,,"Spider-Woman, Stunning Savior",SPM,Marvel's Spider-Man,230,normal,rare,1,108517,4d502370-a5d9-41b6-a1d3-fa9626b4fc8b,2.19,false,false,near_mint,en,USD,2026-08-04T05:19:02.873Z
,,Savage Beating,MAR,Marvel Universe,26,normal,mythic,1,108496,291ffa45-f395-420f-8862-9a685b65ce69,10.22,false,false,near_mint,en,USD,2026-08-04T05:19:15.983Z
,,Doctor Doom,MSH,Marvel Super Heroes,365,normal,mythic,1,113124,08b2c1c8-52cd-4c7d-a15a-4703df31dd14,29.66,false,false,near_mint,en,USD,2026-08-04T05:19:31.026Z
,,Archangel of Thune,MAR,Marvel Universe,41,normal,mythic,1,114115,5d393449-bdbe-4638-ba0b-7ec83f81b51e,16.42,false,false,near_mint,en,USD,2026-08-04T05:19:39.010Z
,,"Iron Man, Titan of Innovation",MAR,Marvel Universe,91,normal,mythic,1,113293,20d54b22-62e8-48ac-ba65-0bdbf42d6cad,11.58,false,false,near_mint,en,USD,2026-08-04T05:19:46.878Z
,,"The Thing, Ben Grimm",MSH,Marvel Super Heroes,322,normal,uncommon,1,113137,16a98e97-2b63-4fcb-a3fc-5f8298f6ab12,0.33,false,false,near_mint,en,USD,2026-08-04T05:20:08.063Z
,,Captain America's Shield,MSH,Marvel Super Heroes,244,normal,rare,1,113347,4b5433ac-0d36-4472-bf8b-d22f0ffd367b,1.12,false,false,near_mint,en,USD,2026-08-04T05:20:18.980Z
,,Cosmic Cube,MSH,Marvel Super Heroes,312,normal,mythic,1,113810,7c5abd50-0eaa-4ecb-9e24-a91f54eb37c4,26.22,false,false,near_mint,en,USD,2026-08-04T05:20:24.998Z
,,Gathering Place,MSH,Marvel Super Heroes,266,normal,rare,1,113326,081cdbd0-5081-4a9e-90ba-f5baf4ac137e,2.04,false,false,near_mint,en,USD,2026-08-04T05:20:40.908Z
,,Plaza of Heroes,MSC,Marvel Super Heroes Commander,255,normal,rare,1,113878,96fe4b9b-d766-463b-a6df-345ebebfc17c,4.1,false,false,near_mint,en,USD,2026-08-04T05:20:47.242Z
,,"Shang-Chi, Master of Kung Fu",MSH,Marvel Super Heroes,187,normal,mythic,1,113605,2edbb62f-ad45-4422-850b-68dcc18b4c73,10.2,false,false,near_mint,en,USD,2026-08-04T05:21:19.103Z
,,"Captain America, Super-Soldier",MSH,Marvel Super Heroes,9,normal,mythic,1,110047,33631d6c-c584-42ff-afe5-2647b5fb321f,4.01,false,false,near_mint,en,USD,2026-08-04T05:22:25.343Z
